,Unnamed: 0,score,id,Title,Parent,Parent Slug,secondary,count
0,608,12877.5,3422,Today's Minimum Mortgage Requirements,146,home/mortgage,home,230
1,745,12263.1,3468,Benefits of Closing at the End of the Month: When is Your First Mortgage Payment Due?,146,home/mortgage,home,230
2,789,7184.0,3350,How to Lower Your Mortgage Payment,150,home/refinance,home,54
3,472,5767.6,7077,Home Loans For Bad Credit,146,home/mortgage,home,32
4,423,5179.2,3325,Get a Home Equity Loan with Bad Credit,142,home/home-equity,home,27
5,1008,4059.9,6016,Unsecured Loans after Bankruptcy: What You Need to Know,3123,personal/unsecured,personal,2
6,424,3807.3,3314,How Much are Home Equity Loan Closing Costs?,142,home/home-equity,home,27
7,19,3687.1,3040,Car Loan Documentation Checklist: The 8 Things You Need,99,auto,auto,67
8,78,3612.1,3569,Refinancing an Upside Down Car Loan,7509,auto/refinance/car-loans,auto/refinance,12
9,566,3380.8,3527,Understanding Construction Loans,146,home/mortgage,home,10
10,375,3340.7,2353,Getting an FHA Construction Loan,27,home/fha,home,34
11,521,3284.2,7073,What Credit Score Do You Need to Buy a House?,146,home/mortgage,home,9
12,602,3277.1,5514,"Letter of Explanation: What, Why and How",146,home/mortgage,home,6
13,392,3030.7,5775,FHA Refinance: Conventional or Streamline?,27,home/fha,home,34
14,428,3023.1,7803,How to Qualify for a Home Equity Loan in 2018,142,home/home-equity,home,14
15,47,3011.8,411,Bad Credit Motorcycle Loans,113,auto/motorcycle,auto,3
16,416,2920.7,16713,Can You Get a Home Equity Line of Credit on an Investment Property?,7471,home/home-equity/heloc,home/home-equity,10
17,1015,2800.4,3280,What Credit Score Do You Need for a Personal Loan?,164,personal,personal,58
18,988,2655.3,3284,How to Qualify for a Personal Loan: Are you a good candidate?,164,personal,personal,57
19,526,2654.7,3415,Do No Income Verification Mortgages Still Exist?,146,home/mortgage,home,7
20,440,2487.0,3329,How Much is My House Worth: Understanding Home Equity,142,home/home-equity,home,8
21,811,2453.8,3368,Learn How to Refinance With Bad Credit,150,home/refinance,home,54
22,480,2441.8,7799,How to Get a Bridge Loan,146,home/mortgage,home,9
23,20,2392.6,3000,Car Loans After Chapter 7 Bankruptcy,99,auto,auto,66
24,82,2311.0,16226,How to Pay Off Your Car Loan Faster: 11 Hacks For Successful Payoff,109,auto/refinance,auto,10
25,114,2279.5,401,Bad Credit Boat Loans: How to Get Approved,1389,boat,auto/powersport,7
26,231,2269.0,6068,Q&A: Can You Buy a Money Order With a Credit Card?,133,credit-cards/tips,credit-cards,192
27,96,2257.0,19119,Toyota Financing: Know Your Options in 2018,99,auto,auto,15
28,955,2237.2,3270,Can You Use a Personal Loan to Buy a Car Instead of an Auto Loan?,164,personal,personal,19
