id,Title,Parent,Parent Slug
127,How to Get a Used Boat Loan,1389,boat
271,RV Financing: How To Finance an RV,121,auto/rv
376,Bad Credit RV Loans: How to Get Approved,121,auto/rv
383,Powersport Financing Options for Your Next Purchase,117,auto/powersport
386,Powersport Loans For Bad Credit,117,auto/powersport
389,How to Qualify for a Powersport Loan?,117,auto/powersport
394,Top Powersports for Adventure Seekers,117,auto/powersport
401,Bad Credit Boat Loans: How to Get Approved,1389,boat
403,Boat Financing: Learn How To Finance A Boat,1389,boat
405,Houseboat Financing: Learn How To Get A Houseboat Loan,1389,boat
407,Frequently Asked Questions About Buying a Boat,1389,boat
411,Bad Credit Motorcycle Loans,113,auto/motorcycle
414,How to Get a Motorcycle Loan,113,auto/motorcycle
435,New FHFA Director May Change U.S. Housing Policy,27,home/fha
441,84 Month Auto Loan: A Good Idea?,99,auto
443,Auto Refinance Options and Your Credit Score,109,auto/refinance
445,Motorcycle Financing Explained,113,auto/motorcycle
447,Should I Get a Loan for My New Powersport Vehicle?,117,auto/powersport
449,RV Buying Tips: Get the RV of Your Dreams,121,auto/rv
453,How to Find the Perfect Location for Your Small Business,129,business
457,Debt Restructuring VS Debt Consolidation,138,debt-consolidation
459,Use a Home Equity Loan for Debt Consolidation,142,home/home-equity
461,Is a Home Warranty Worth the Expense?,146,home/mortgage
465,"Thank You for Your Service: VA Loans, Educational Assistance, and Other Veterans Administration Benefits",154,home/va
468,Types of Auto Insurance Coverage,160,insurance/auto
470,Fast Cash Loans: Advantages of Personal Loans,7592,personal/emergency
472,How to Apply for Federal Student Loans,168,student
474,Can You Refinance Federal Student Loans?,172,student/refinance
479,Reverse Mortgage: What If You Enter Long Term Care?,234,home/reverse
651,"HARP Requirements, Eligibility, & Qualifications",624,home/refinance/harp
652,Why You Need a HARP Refinance Now,624,home/refinance/harp
654,HARP Loan Rates and Fees,624,home/refinance/harp
655,HARP Refinance: What to do if your Getting Divorced,624,home/refinance/harp
656,HARP 3.0 Refinance,624,home/refinance/harp
660,How Should Business Owners Give Themselves a Raise?,129,business
661,10 Research Tools that Every Small Business Should Invest In,129,business
