"","score","id","Title","Parent","Parent Slug"
"608",12877.5,3422,"Today's Minimum Mortgage Requirements",146,"home/mortgage"
"745",12263.1,3468,"Benefits of Closing at the End of the Month: When is Your First Mortgage Payment Due?",146,"home/mortgage"
"789",7184,3350,"How to Lower Your Mortgage Payment",150,"home/refinance"
"472",5767.6,7077,"Home Loans For Bad Credit",146,"home/mortgage"
"423",5179.2,3325,"Get a Home Equity Loan with Bad Credit",142,"home/home-equity"
"1008",4059.9,6016,"Unsecured Loans after Bankruptcy: What You Need to Know",3123,"personal/unsecured"
"424",3807.3,3314,"How Much are Home Equity Loan Closing Costs?",142,"home/home-equity"
"19",3687.1,3040,"Car Loan Documentation Checklist: The 8 Things You Need",99,"auto"
"78",3612.1,3569,"Refinancing an Upside Down Car Loan",7509,"auto/refinance/car-loans"
"566",3380.8,3527,"Understanding Construction Loans",146,"home/mortgage"
"375",3340.7,2353,"Getting an FHA Construction Loan",27,"home/fha"
"521",3284.2,7073,"What Credit Score Do You Need to Buy a House?",146,"home/mortgage"
"602",3277.1,5514,"Letter of Explanation: What, Why and How",146,"home/mortgage"
"392",3030.7,5775,"FHA Refinance: Conventional or Streamline?",27,"home/fha"
"428",3023.1,7803,"How to Qualify for a Home Equity Loan in 2018",142,"home/home-equity"
"47",3011.8,411,"Bad Credit Motorcycle Loans",113,"auto/motorcycle"
"416",2920.7,16713,"Can You Get a Home Equity Line of Credit on an Investment Property?",7471,"home/home-equity/heloc"
"1015",2800.4,3280,"What Credit Score Do You Need for a Personal Loan?",164,"personal"
"988",2655.3,3284,"How to Qualify for a Personal Loan: Are you a good candidate?",164,"personal"
"526",2654.7,3415,"Do No Income Verification Mortgages Still Exist?",146,"home/mortgage"
"440",2487,3329,"How Much is My House Worth: Understanding Home Equity",142,"home/home-equity"
"811",2453.8,3368,"Learn How to Refinance With Bad Credit",150,"home/refinance"
"480",2441.8,7799,"How to Get a Bridge Loan",146,"home/mortgage"
"20",2392.6,3000,"Car Loans After Chapter 7 Bankruptcy",99,"auto"
"82",2311,16226,"How to Pay Off Your Car Loan Faster: 11 Hacks For Successful Payoff",109,"auto/refinance"
"114",2279.5,401,"Bad Credit Boat Loans: How to Get Approved",1389,"boat"
"231",2269,6068,"Q&A: Can You Buy a Money Order With a Credit Card?",133,"credit-cards/tips"
"96",2257,19119,"Toyota Financing: Know Your Options in 2018",99,"auto"
"955",2237.2,3270,"Can You Use a Personal Loan to Buy a Car Instead of an Auto Loan?",164,"personal"
"77",2167.8,2218,"Refinance Your Car into Someone Else's Name: Is it Possible?",7509,"auto/refinance/car-loans"
"966",2141.7,3266,"How to Finance a New AC Unit: What You Need to Know",164,"personal"
"515",2098.6,3400,"Complete Guide to HomeStyle Renovation Mortgage",146,"home/mortgage"
"787",2092.5,3363,"How Much Does It Cost To Refinance?",150,"home/refinance"
"5",2009.6,441,"84 Month Auto Loan: A Good Idea?",99,"auto"
"993",1950.5,3288,"Personal Loans With a Cosigner: Getting a Joint Personal Loan",164,"personal"
"73",1933.8,2228,"How Soon Can You Refinance a Car Loan?",7509,"auto/refinance/car-loans"
"445",1903.5,3301,"The Pros and Cons of a Home Equity Loan",142,"home/home-equity"
"594",1809.6,3453,"Investment Property Mortgage Rates",146,"home/mortgage"
"85",1702.1,376,"Bad Credit RV Loans: How to Get Approved",121,"auto/rv"
"117",1639.7,407,"Frequently Asked Questions About Buying a Boat",1389,"boat"
"432",1631.8,3326,"Home Equity Loan vs Home Equity Line of Credit",142,"home/home-equity"
"401",1555.9,2368,"Understanding the FHA CAIVRS Report",7503,"home/fha/requirements"
"579",1541.1,3399,"How To Buy Your Parent's Home",146,"home/mortgage"
"609",1533.2,8286,"Mobile & Manufactured Home Loan Guide",146,"home/mortgage"
"954",1479.2,3278,"Can You Refinance a Personal Loan?",164,"personal"
"184",1475.4,29547,"Understanding the EIN",7494,"business/requirements"
"422",1468.1,3317,"Can You Get a Home Equity Loan After Bankruptcy?",142,"home/home-equity"
"382",1456.9,8456,"FHA Mortgage Insurance: What, Why and How Much",27,"home/fha"
"528",1441.9,3403,"Down Payment Requirements for Rental Property: What You Should to Know",146,"home/mortgage"
"60",1415,15709,"What Is a Private Party Auto Loan and How Do You Find One?",99,"auto"
"119",1300,127,"How to Get a Used Boat Loan",1389,"boat"
"960",1262.2,14653,"Financing Options for Plastic Surgery",164,"personal"
"803",1247.6,3360,"Can You Refinance After Bankruptcy?",150,"home/refinance"
"116",1239.1,16692,"How to Find the Best Boat Loan Rates",1389,"boat"
"650",1231.7,3471,"Getting a Mortgage After Bankruptcy: What You Need to Know",146,"home/mortgage"
"66",1223,2226,"Best Companies to Refinance Auto Loan with Bad Credit",109,"auto/refinance"
"956",1222.9,9015,"Collateral Loans 101: How do These Loans Work?",164,"personal"
"530",1206,3404,"Borrowing Money for a Down Payment",7449,"home/mortgage/down-payment"
"393",1194.8,2359,"FHA Loan Credit Score: What's the Real Minimum?",7503,"home/fha/requirements"
"810",1190.1,3344,"Can I Refinance? Refinance Requirements for Your Mortgage",150,"home/refinance"
"253",1165.3,5783,"What to do when you are denied credit by a lender",20369,"credit-repair"
"770",1143.1,10808,"What Credit Score is Needed for Refinancing?",150,"home/refinance"
"72",1127,2229,"How Often Can You Refinance Your Car?",7509,"auto/refinance/car-loans"
"83",1102.9,2222,"The Best (and Worst) Time to Refinance Your Auto Loan",109,"auto/refinance"
"706",1083.2,3410,"What happened to stated income loans?",146,"home/mortgage"
"991",1071,3241,"Using a Personal Loan to Pay Off Your Car",164,"personal"
"459",1051,3454,"The Lesser-Known 40-Year Mortgage: What You Should Know",146,"home/mortgage"
"541",1043.7,7633,"How to Buy a House With No Money Down?",7449,"home/mortgage/down-payment"
"1006",1011.2,3262,"Types of Personal Loans: Which Option Works For You?",164,"personal"
"113",1008.1,16061,"Can You Lease a Boat and Is This The Best Decision?",1389,"boat"
"967",1003.7,3261,"How to Finance a Tiny House",164,"personal"
"601",1001.1,30545,"LendingTree Reveals the Cities with the Highest Share of Million-Dollar Homes",146,"home/mortgage"
"598",996.2,5734,"When is your mortgage payment late?",146,"home/mortgage"
"65",991.7,2216,"Auto Refinance With Bad Credit",109,"auto/refinance"
"104",979.7,3022,"What Credit Score is Needed to Buy a Car?",99,"auto"
"497",956.6,6110,"Can You Get a Mortgage with Credit Card Debt?",146,"home/mortgage"
"644",946,5750,"Getting Your Prequalification Letter",2990,"home/mortgage/pre-approval"
"362",942.2,2346,"203k Loan: Rehab Loans Courtesy of the FHA",27,"home/fha"
"795",924.6,3359,"Mobile Home Refinancing: Property Requirements",150,"home/refinance"
"576",918.7,7064,"Mortgage Application: How to Apply For a Mortgage",146,"home/mortgage"
"614",896,3526,"When is Your Mortgage Loan Approved?",146,"home/mortgage"
"13",894.3,15796,"Buying a Car Out of State: A How-To Guide",99,"auto"
"172",881.3,6096,"Business Loan vs. Personal Loan: Which Is Better for Your Small Business?",129,"business"
"786",879.5,26278,"How Long Does It Take to Refinance a House?",150,"home/refinance"
"23",871.2,2999,"Combining Auto Loans: Learn How to Consolidate Your Car Loan",99,"auto"
"550",865.9,7834,"Tips for First-Time Homebuyers with Bad Credit",146,"home/mortgage"
"87",856.7,271,"RV Financing: How To Finance an RV",121,"auto/rv"
"980",850.3,9673,"Long Term Personal Loans",164,"personal"
"484",809.9,20981,"Buying A Fixer-Upper: What Loans Are Available?",146,"home/mortgage"
"474",778.8,3512,"Everything You Should Know Before Buying a Condo",146,"home/mortgage"
"981",766.4,6084,"How to Get Medical Loans with Bad Credit",3113,"personal/medical"
"914",765.3,2269,"VA Construction Loans: A Few Things to Know",154,"home/va"
"505",753.2,3535,"No Closing Cost Mortgage Loans",7457,"home/mortgage/closing-costs"
"881",750.8,7381,"What Is a Reverse Mortgage?",234,"home/reverse"
"439",748.8,3312,"How Long Are Home Equity Loan Terms?",142,"home/home-equity"
"600",745.1,3432,"Mortgage News: CFPB Says Some Lenders Discriminated Against Social Security Recipients",146,"home/mortgage"
"37",736.8,7937,"How to Get a Business Auto Loan",99,"auto"
"652",729,5834,"10-Year Fixed Refinance Mortgage Loan",5299,"home/mortgage/rates"
"405",724.5,2335,"What's the Difference Between these Types of Mortgages: FHA, HomeReady and Home Possible Mortgage?",27,"home/fha"
"849",722.8,2306,"How to Get Out of a Reverse Mortgage (Without Actually Dying)",234,"home/reverse"
"242",717.5,26178,"What is a credit score & how is it calculated?",20369,"credit-repair"
"227",716.3,6039,"Can You Have Two of the Exact Same Rewards Credit Cards?",133,"credit-cards/tips"
"804",713.6,3378,"Should You Refinance Your ARM to a Fixed Rate Mortgage?",150,"home/refinance"
"852",685,7904,"How Much Equity Do You Need for a Reverse Mortgage?",234,"home/reverse"
"888",653.5,2284,"VA Loan Benefits and Disadvantages",154,"home/va"
"417",651.6,3331,"How to Refinance a HELOC",7471,"home/home-equity/heloc"
"767",651.5,22572,"Cash-Out Refinance: Know Your Options",7459,"home/refinance/cash-out"
"22",648.4,3863,"Classic Car Loans: How To Finance a Classic Car",99,"auto"
"409",643.9,3328,"Cash-Out Refinance, HELOC and Home Equity Loans: Which Is Best for You?",142,"home/home-equity"
"1020",640,3276,"Which is Better: A Personal Loan or Home Equity Loan?",164,"personal"
"338",637.6,26297,"5 Signs You Have Too Much Debt",138,"debt-consolidation"
"431",636.2,3313,"Using a Home Equity Loan to Buy a Car",142,"home/home-equity"
